config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
10,7,both,0.01,0.01,LayerNorm,2.332416
10,8,both,0.01,0.01,LayerNorm,2.332417
10,9,both,0.01,0.01,LayerNorm,2.332419
11,1,both,0.01,0.01,CausalSelfAttention,2.332418
11,2,both,0.01,0.01,CausalSelfAttention,2.332417
11,3,both,0.01,0.01,CausalSelfAttention,2.332416
11,4,both,0.01,0.01,CausalSelfAttention,2.332419
11,5,both,0.01,0.01,CausalSelfAttention,2.332419
11,6,both,0.01,0.01,CausalSelfAttention,2.332414
11,7,both,0.01,0.01,CausalSelfAttention,2.332418
11,8,both,0.01,0.01,CausalSelfAttention,2.332418
11,9,both,0.01,0.01,CausalSelfAttention,2.332417
0,10,both,0.0001,0.0001,none,2.332415
0,11,both,0.0001,0.0001,none,2.332416
0,12,both,0.0001,0.0001,none,2.332421
0,13,both,0.0001,0.0001,none,2.332416
0,14,both,0.0001,0.0001,none,2.332415
0,15,both,0.0001,0.0001,none,2.332416
0,16,both,0.0001,0.0001,none,2.332417
0,17,both,0.0001,0.0001,none,2.332415
0,18,both,0.0001,0.0001,none,2.332416
0,19,both,0.0001,0.0001,none,2.332417
1,10,both,0.0001,0.0001,MLP,2.332417
1,11,both,0.0001,0.0001,MLP,2.332416
1,12,both,0.0001,0.0001,MLP,2.332419
1,13,both,0.0001,0.0001,MLP,2.332419
1,14,both,0.0001,0.0001,MLP,2.332417
1,15,both,0.0001,0.0001,MLP,2.332415
1,16,both,0.0001,0.0001,MLP,2.332419
1,17,both,0.0001,0.0001,MLP,2.332416
1,18,both,0.0001,0.0001,MLP,2.332419
1,19,both,0.0001,0.0001,MLP,2.332418
2,10,both,0.0001,0.0001,LayerNorm,2.332416
2,11,both,0.0001,0.0001,LayerNorm,2.332416
2,12,both,0.0001,0.0001,LayerNorm,2.332418
2,13,both,0.0001,0.0001,LayerNorm,2.332415
2,14,both,0.0001,0.0001,LayerNorm,2.332417
2,15,both,0.0001,0.0001,LayerNorm,2.332413
2,16,both,0.0001,0.0001,LayerNorm,2.332416
2,17,both,0.0001,0.0001,LayerNorm,2.332415
2,18,both,0.0001,0.0001,LayerNorm,2.332417
